Post_created_time,is_ad,Post_Owner,Post_Owner_id,is_video,like_count,caption,CaptionHashtag,CaptionMention,PostCount,NumComment
2019-07-02 10:25:26,False,yeomguyioung,15375126768,False,11,비온뒤 하늘 참 맑다\n#여름하늘\n#벌교날씨\n#태풍다나스,"['#여름하늘', '#벌교날씨', '#태풍다나스']",[],1,2
2019-07-15 06:40:54,False,joatte_official,2967530031,True,62,"안녕하세요.조아뜨입니다.\n지금 서울에는 비가 ☔️무지하게 내리고 있어요.\n쏟아진다는 💦표현이 맞을만큼 많은 비가 내리네요.\n.\n다른 곳에 사시는 분들은 날씨가 어떤지 모르겠네요.\n.\n이럴 땐 여름이지만 따뜻한 커피 ☕️한잔 타서\n비오는 창가에서  잠시의 여유로움을 만끽해\n보시는 건 어떠세요?\n.\n현관 문을 열고 빗소리와 비 떨어지는 모습\n저장해봤어요...\n.\n부디 오늘의 빗소리가 큰 피해없이 분위기있는\n빗소리로 여유로움을 갖을 수 있는 정도로만 내렸으면\n좋겠네요.\n그리고 우리 아가들 조아뜨 거즈이불, 인견이불 \n덮어주셔서 비오는 날씨에 감기들지 않도록 \n체온 유지해주세요.\n.\n분위기 있는 오후되시길 바라면서\n이번 한주도 화이팅하시길 바랍니다~~\n'조아뜨'에게 '조아요' 👍 눌러주시는것 잊지말아주세요~ .\n\n#빗소리#빗물#장마#태풍#여름장마#여름휴가#가을비#봄비#범퍼침대#조아뜨범퍼침대#간절기이불#아기이불#아기이불패드#방수요#베이비페어#다나스\n#태풍다나스","['#빗소리', '#빗물', '#장마', '#태풍', '#여름장마', '#여름휴가', '#가을비', '#봄비', '#범퍼침대', '#조아뜨범퍼침대', '#간절기이불', '#아기이불', '#아기이불패드', '#방수요', '#베이비페어', '#다나스', '#태풍다나스']",[],1,13
2019-07-16 13:26:23,False,yoommooy__,1562927982,False,24,#여름 \n맛있어서 기절할 맛.,['#여름'],[],1,2
2019-07-16 22:10:01,False,bagjieun955,16140234781,False,5,"#버숑\n#버숑제리맘\n-\n예비맘, 임산부라구요?\n앞으로 들어가야 할 돈은 많고\n걱정이시죠!\n-\n육아용품, 출산비용 더이상 걱정 끝!\n임산부도 할 수 있는 부업!\n휴대폰만 있으면 \n언제 어디서든 가능해요\n- - <제리맘의 노하우 100% 전수!>\n■ 부업은 부업답게! 휴대폰으로만 가능\n■ 포토샵 없이도 이미지 제작방법\n■ 인스타, 블로그 교육!\n■ 해시태그 교육법\n-\n🍀버숑책임멘토 제리맘\n🍀버숑꼼꼼멘토 제리맘 - ⭐혼자하면힘들지만.\n같이하면할수있죠.\n⭐버숑멘토 제리맘이 같이해요.\n-\n\n수익날수밖에 없는 수익구조!!\n7월 정식오픈!!\n-\n☆체험단수익\n☆인스타포스팅수익\n☆광고주영업수익\n☆버니모집수익\n-\n버숑으로\n하고싶은거다하세요🍻\n-\n거짓인증안하는양심멘토제리맘^^\n성공하는방법꿀팁알려드릴께요~ -\n상담은 요기로요.\n-\n□ 프로필하단 오픈쳇 or kakao.jerimam0611","['#버숑', '#버숑제리맘']",[],1,2
2019-07-16 22:16:21,False,namu201503,16101561643,False,6,"#버숑\n#버숑제리맘\n-\n예비맘, 임산부라구요?\n앞으로 들어가야 할 돈은 많고\n걱정이시죠!\n-\n육아용품, 출산비용 더이상 걱정 끝!\n임산부도 할 수 있는 부업!\n휴대폰만 있으면 \n언제 어디서든 가능해요\n-\n<제리맘의 노하우 100% 전수!>\n■ 부업은 부업답게! 휴대폰으로만 가능\n■ 포토샵 없이도 이미지 제작방법\n■ 인스타, 블로그 교육!\n■ 해시태그 교육법 -\n🍀버숑책임멘토 제리맘\n🍀버숑꼼꼼멘토 제리맘\n-\n⭐혼자하면힘들지만.\n같이하면할수있죠.\n⭐버숑멘토 제리맘이 같이해요.\n-\n\n수익날수밖에 없는 수익구조!!\n7월 정식오픈!!\n-\n☆체험단수익\n☆인스타포스팅수익\n☆광고주영업수익\n☆버니모집수익\n-\n버숑으로\n하고싶은거다하세요🍻\n-\n거짓인증안하는양심멘토제리맘^^\n성공하는방법꿀팁알려드릴께요~ -\n상담은 요기로요.\n-\n□ 프로필하단 오픈쳇 or kakao.jerimam0611","['#버숑', '#버숑제리맘']",[],1,2
2019-07-16 22:26:16,False,k01051680410,7261797135,False,19,☠보라카이 캐리비안호핑과 즐거운 보라카이 여행을 만들어 보세요 ☠#보라카이캐리비안호핑\n#보라카이 #boracay #보라카이여행 #보라카이자유여행 #세븐투어 #보라카이호핑 #보라카이호핑투어 #캐리비안호핑\n#커플여행 #가족여행 #우정여행 #휴가 #동남아여행 #자유여행 #여행에미치다 #여행스타그램 #소통 #일상소통 #좋아요#탄비사안비치#푸카쉘비치#필리핀태풍#보라카이태풍#보라카이태풍#보라카이비#보라카이우기철#태풍#태풍다나스,"['#보라카이캐리비안호핑', '#보라카이', '#boracay', '#보라카이여행', '#보라카이자유여행', '#세븐투어', '#보라카이호핑', '#보라카이호핑투어', '#캐리비안호핑', '#커플여행', '#가족여행', '#우정여행', '#휴가', '#동남아여행', '#자유여행', '#여행에미치다', '#여행스타그램', '#소통', '#일상소통', '#좋아요', '#탄비사안비치', '#푸카쉘비치', '#필리핀태풍', '#보라카이태풍', '#보라카이태풍', '#보라카이비', '#보라카이우기철', '#태풍', '#태풍다나스']",[],1,3
2019-07-16 22:39:51,False,jeri.mam,15781732743,False,4,"#버숑\n#버숑제리맘\n-\n예비맘, 임산부라구요?\n앞으로 들어가야 할 돈은 많고\n걱정이시죠!\n-\n육아용품, 출산비용 더이상 걱정 끝!\n임산부도 할 수 있는 부업!\n휴대폰만 있으면 \n언제 어디서든 가능해요\n-\n<제리맘의 노하우 100% 전수!>\n■ 부업은 부업답게! 휴대폰으로만 가능\n■ 포토샵 없이도 이미지 제작방법\n■ 인스타, 블로그 교육!\n■ 해시태그 교육법 -\n🍀버숑책임멘토 제리맘\n🍀버숑꼼꼼멘토 제리맘\n-\n⭐혼자하면힘들지만.\n같이하면할수있죠.\n⭐버숑멘토 제리맘이 같이해요.\n-\n\n수익날수밖에 없는 수익구조!!\n7월 정식오픈!!\n-\n☆체험단수익\n☆인스타포스팅수익\n☆광고주영업수익\n☆버니모집수익\n-\n버숑으로\n하고싶은거다하세요🍻\n-\n거짓인증안하는양심멘토제리맘^^\n성공하는방법꿀팁알려드릴께요~ -\n상담은 요기로요.\n-\n□ 프로필하단 오픈쳇 or kakao.jerimam0611","['#버숑', '#버숑제리맘']",[],1,1
2019-07-16 23:58:27,False,jeri.mam,15781732743,False,4,"#버숑\n#버숑제리맘\n-\n예비맘, 임산부라구요?\n앞으로 들어가야 할 돈은 많고\n걱정이시죠!\n-\n육아용품, 출산비용 더이상 걱정 끝!\n임산부도 할 수 있는 부업!\n휴대폰만 있으면 \n언제 어디서든 가능해요\n-\n<제리맘의 노하우 100% 전수!>\n■ 부업은 부업답게! 휴대폰으로만 가능\n■ 포토샵 없이도 이미지 제작방법\n■ 인스타, 블로그 교육!\n■ 해시태그 교육법 -\n🍀버숑책임멘토 제리맘\n🍀버숑꼼꼼멘토 제리맘\n-\n⭐혼자하면힘들지만.\n같이하면할수있죠.\n⭐버숑멘토 제리맘이 같이해요.\n-\n\n수익날수밖에 없는 수익구조!!\n7월 정식오픈!!\n-\n☆체험단수익\n☆인스타포스팅수익\n☆광고주영업수익\n☆버니모집수익\n-\n버숑으로\n하고싶은거다하세요🍻\n-\n거짓인증안하는양심멘토제리맘^^\n성공하는방법꿀팁알려드릴께요~ -\n상담은 요기로요.\n-\n□ 프로필하단 오픈쳇 or kakao.jerimam0611","['#버숑', '#버숑제리맘']",[],1,1
2019-07-17 00:00:30,False,namu201503,16101561643,False,7,"#버숑\n#버숑제리맘\n-\n예비맘, 임산부라구요?\n앞으로 들어가야 할 돈은 많고\n걱정이시죠!\n-\n육아용품, 출산비용 더이상 걱정 끝!\n임산부도 할 수 있는 부업!\n휴대폰만 있으면 \n언제 어디서든 가능해요\n-\n<제리맘의 노하우 100% 전수!>\n■ 부업은 부업답게! 휴대폰으로만 가능\n■ 포토샵 없이도 이미지 제작방법\n■ 인스타, 블로그 교육!\n■ 해시태그 교육법 -\n🍀버숑책임멘토 제리맘\n🍀버숑꼼꼼멘토 제리맘\n-\n⭐혼자하면힘들지만.\n같이하면할수있죠.\n⭐버숑멘토 제리맘이 같이해요.\n-\n\n수익날수밖에 없는 수익구조!!\n7월 정식오픈!!\n-\n☆체험단수익\n☆인스타포스팅수익\n☆광고주영업수익\n☆버니모집수익\n-\n버숑으로\n하고싶은거다하세요🍻\n-\n거짓인증안하는양심멘토제리맘^^\n성공하는방법꿀팁알려드릴께요~ -\n상담은 요기로요.\n-\n□ 프로필하단 오픈쳇 or kakao.jerimam0611","['#버숑', '#버숑제리맘']",[],1,1
2019-07-17 00:35:12,False,bagjieun955,16140234781,False,4,"#버숑\n#버숑제리맘\n-\n예비맘, 임산부라구요?\n앞으로 들어가야 할 돈은 많고\n걱정이시죠!\n-\n육아용품, 출산비용 더이상 걱정 끝!\n임산부도 할 수 있는 부업!\n휴대폰만 있으면 \n언제 어디서든 가능해요\n- <제리맘의 노하우 100% 전수!>\n■ 부업은 부업답게! 휴대폰으로만 가능\n■ 포토샵 없이도 이미지 제작방법\n■ 인스타, 블로그 교육!\n■ 해시태그 교육법 -\n🍀버숑책임멘토 제리맘\n🍀버숑꼼꼼멘토 제리맘\n-\n⭐혼자하면힘들지만.\n같이하면할수있죠.\n⭐버숑멘토 제리맘이 같이해요.\n-\n\n수익날수밖에 없는 수익구조!!\n7월 정식오픈!!\n-\n☆체험단수익\n☆인스타포스팅수익\n☆광고주영업수익\n☆버니모집수익\n-\n버숑으로\n하고싶은거다하세요🍻\n-\n거짓인증안하는양심멘토제리맘^^\n성공하는방법꿀팁알려드릴께요~ -\n상담은 요기로요.\n-\n□ 프로필하단 오픈쳇 or kakao.jerimam0611","['#버숑', '#버숑제리맘']",[],1,2
